frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
264,6.0,[831.6115323879097 1628.9062501607057 1637.0608687456802 2151.998724764965],[1087.447265625 2019.195556640625 1334.7366943359375 2130.7060546875],0.3346361517906189,GX15OGJ,0.2563985792368366
264,13.0,[2243.9215580517957 1641.5196287553006 2982.7756684298765 2145.3407121792934],[2529.9580078125 2009.92822265625 2742.705322265625 2104.962890625],0.3318418562412262,LM13VCV,0.4840702060155328
265,6.0,[833.3500247086045 1631.535308682162 1636.6651036552576 2151.549258921067],[1087.56640625 2019.1864013671875 1334.801513671875 2130.76806640625],0.3342903256416321,GX15OGJ,0.2563985792368366
265,13.0,[2244.7849398940666 1643.860979330449 2982.7115792103436 2144.8528803157233],[2529.94677734375 2009.841796875 2742.643798828125 2104.96875],0.33162325620651245,LM13VCY,0.20209854654835094
267,13.0,[2243.7238031964616 1652.087163329196 2984.5929638249218 2147.759803674645],[2528.401611328125 2020.2279052734375 2737.8193359375 2117.73291015625],0.3539893329143524,LM13VCV,0.4986988761131038
269,13.0,[2241.318165918445 1661.102385563467 2985.6318525801876 2154.0270611665374],[2529.5615234375 2026.1171875 2729.673828125 2127.069091796875],0.38879096508026123,LM13VCV,0.32627157027856063
271,13.0,[2243.181696542215 1666.9449933050278 2989.2558454013933 2155.3485944667796],[2527.46533203125 2038.39208984375 2734.201904296875 2139.572265625],0.45857030153274536,LM13VCV,0.5402729555604301
272,13.0,[2244.956149256662 1671.5170048444077 2989.6078926467526 2157.7623444468827],[2523.330078125 2044.10009765625 2745.43017578125 2146.58642578125],0.48754897713661194,LM13VCV,0.4144875314863157
273,13.0,[2246.05924651903 1673.9531611289672 2993.3772156217906 2155.971818299348],[2523.861328125 2047.8834228515625 2743.025390625 2147.3623046875],0.4336954355239868,LM13VCV,0.20996128306982606
274,13.0,[2248.736842532421 1678.5189847403894 2996.2193630108723 2155.9693000196103],[2525.8544921875 2034.7080078125 2744.31201171875 2147.803955078125],0.42545393109321594,LM13VCV,0.3549884496274695
275,1.0,[2044.5052410168428 1226.068201402822 2616.235181057037 1705.0154477976607],[2249.1357421875 1502.904052734375 2467.81201171875 1602.589599609375],0.4940332770347595,AP05JEO,0.4306942767944405
275,13.0,[2252.466949577016 1683.350196265719 2998.5728938595994 2156.0582750737967],[2535.697998046875 2056.28759765625 2744.530517578125 2149.509521484375],0.36864173412323,LM13VCV,0.44539480518980545
276,1.0,[2047.8044421337086 1228.9562779986197 2618.577063974191 1707.8871221350735],[2219.661865234375 1511.7498779296875 2489.67529296875 1621.0968017578125],0.4974382221698761,AP05JEO,0.23840344214255235
277,1.0,[2049.079458733581 1229.9758484691904 2619.251034884033 1708.8811383062964],[2219.6259765625 1511.7451171875 2489.76220703125 1621.105224609375],0.49782559275627136,AP05JEO,0.23840344214255235
278,1.0,[2050.7832953195316 1230.9941528731936 2621.041486038685 1709.8129026448362],[2217.503173828125 1516.19482421875 2489.69970703125 1623.056884765625],0.3829088807106018,AP05JEO,0.48447556292696203
280,1.0,[2052.582233293878 1232.5783743746788 2623.331017050701 1716.5373553707877],[2262.998046875 1523.720947265625 2465.044921875 1615.39306640625],0.2529926598072052,AP05JEO,0.4735589775834378
284,8.0,[1080.187569876625 1135.6926005653538 1592.027447325527 1581.2173458727623],[1231.93896484375 1390.97216796875 1403.071533203125 1483.4951171875],0.2556913495063782,KH05ZZK,0.47754079025892265
285,8.0,[1079.2747366952162 1140.9885916656249 1590.8759117370241 1584.9128850266484],[1230.0198974609375 1390.3062744140625 1409.6171875 1477.634765625],0.4156549274921417,KH05ZZK,0.47767528653923946
286,1.0,[2042.0994785206394 1241.3934551574948 2626.3247720320887 1737.4617055236486],[2241.37451171875 1526.7216796875 2487.83984375 1632.6884765625],0.47225794196128845,AP05JEO,0.46765397424139366
287,1.0,[2045.5785611600118 1243.098454864967 2630.50962661325 1741.8629123784601],[2217.51171875 1533.6884765625 2499.619384765625 1642.406982421875],0.35826796293258667,AP05JEO,0.5444003204249914
290,1.0,[2047.3449821928757 1250.3092786605453 2637.1247152407745 1751.9711670604079],[2260.738525390625 1544.9658203125 2472.791259765625 1640.626708984375],0.341413289308548,AP05JEO,0.8758946779194552
291,1.0,[2047.559071065673 1253.2340788424274 2638.9360597518894 1755.815750196701],[2247.1513671875 1542.566162109375 2485.275146484375 1654.976806640625],0.4446224272251129,AP05JEO,0.3624339091168992
292,1.0,[2047.3991329316111 1257.3887604008785 2639.6860749629636 1760.075471989054],[2243.899658203125 1540.4468994140625 2485.322021484375 1658.2393798828125],0.39430275559425354,AP05JEO,0.26017911457329723
293,1.0,[2049.6010765485403 1258.2438026222035 2640.1281038456877 1762.681082868703],[2254.254638671875 1551.0830078125 2486.3173828125 1657.295166015625],0.2501789331436157,AP05JED,0.10382269855785377
294,1.0,[2049.512383103325 1260.3122989523144 2640.2396029725223 1766.2562394847996],[2265.375 1552.0029296875 2478.607177734375 1647.94970703125],0.3352995216846466,AP05JED,0.2894604368182369
295,1.0,[2049.4125364324045 1260.727077549984 2640.3633984114513 1767.8033996009246],[2265.36376953125 1552.032470703125 2478.8095703125 1647.998779296875],0.3349423408508301,AP05JED,0.2894604368182369
296,8.0,[1063.5657725732015 1160.1079036089063 1582.7827299886987 1612.9035752199134],[1234.851806640625 1422.7796630859375 1398.4688720703125 1504.669921875],0.31036219000816345,KH05ZZK,0.524135334288832
296,1.0,[2047.2521588028317 1263.0352614990088 2640.9208527613796 1770.7365107277556],[2228.755859375 1556.321044921875 2501.95166015625 1666.06201171875],0.26371657848358154,AP05JEO,0.5674943166250463
298,1.0,[2049.145293553923 1267.6667411821222 2648.9439580000226 1777.2861261478206],[2256.3583984375 1572.881103515625 2477.75927734375 1664.0767822265625],0.31192076206207275,AP05JEO,0.3634316217706097
305,1.0,[2044.365962833909 1281.6628693697621 2656.7178996643256 1796.2884872584796],[2229.22265625 1576.1019287109375 2501.04345703125 1689.5196533203125],0.2866686284542084,AP05JEO,0.7989265781075854
306,1.0,[2045.2172733170887 1284.4019941448157 2658.1021678152797 1800.0656261008664],[2249.6845703125 1586.061767578125 2486.890380859375 1696.346923828125],0.5863801836967468,AP05JEO,0.682205547977927
307,1.0,[2044.423750113521 1285.183147854365 2658.139983138902 1801.59672075037],[2249.713134765625 1586.0482177734375 2487.12841796875 1696.3465576171875],0.586406946182251,AP05JEO,0.8091661387237908
308,1.0,[2044.6317333314673 1285.314701191262 2661.3827374449793 1803.2459281905876],[2254.3779296875 1588.0250244140625 2495.47705078125 1688.87109375],0.4864135980606079,AP05JEO,0.8871729155414128
